fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
core_7-0-0 ns2:acquisitions_common groupPurchasePriceValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common objectOfferPriceCurrency,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,""
core_7-0-0 ns2:acquisitions_common objectOfferPriceValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common objectPurchaseOfferPriceCurrency,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,""
core_7-0-0 ns2:acquisitions_common objectPurchaseOfferPriceValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common objectPurchasePriceCurrency,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,""
core_7-0-0 ns2:acquisitions_common objectPurchasePriceValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common originalObjectPurchasePriceCurrency,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,""
core_7-0-0 ns2:acquisitions_common originalObjectPurchasePriceValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common acquisitionReason,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common approvalGroup,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,""
core_7-0-0 ns2:acquisitions_common approvalIndividual,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,""
core_7-0-0 ns2:acquisitions_common approvalStatus,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,""
core_7-0-0 ns2:acquisitions_common approvalDate,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalDate,Acquisition Information,Approval,Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"",""
core_7-0-0 ns2:acquisitions_common approvalNote,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalNote,Acquisition Information,Approval,Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"",""
core_7-0-0 ns2:acquisitions_common acquisitionNote,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common acquisitionProvisos,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionProvisos,Acquisition Information,"",Provisos,"",acquisitionProvisos,string,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common acquisitionFundingCurrency,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingCurrency,Acquisition Information,Funding,Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary: currency,""
core_7-0-0 ns2:acquisitions_common acquisitionFundingValue,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingValue,Acquisition Information,Funding,Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"",""
core_7-0-0 ns2:acquisitions_common acquisitionFundingSource,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSource,Acquisition Information,Funding,Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority: person/local; authority: organization/local,""
core_7-0-0 ns2:acquisitions_common acquisitionFundingSourceProvisos,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSourceProvisos,Acquisition Information,Funding,Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"",""
core_7-0-0 ns2:acquisitions_common creditLine,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"",""
core_7-0-0 ns2:acquisitions_common fieldCollectionEventName,core_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.fieldCollectionEventName,Object Collection Information,"",Field collection event name,fieldCollectionEventNames,fieldCollectionEventName,string,n,y,n,"",""
core_7-0-0 ns2:citations_common termDisplayName,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,Term,Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"",""
core_7-0-0 ns2:citations_common termStatus,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,Term,Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review"
core_7-0-0 ns2:citations_common termType,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,Term,Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary: citationtermtype,""
core_7-0-0 ns2:citations_common termFlag,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,Term,Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary: citationtermflag,""
core_7-0-0 ns2:citations_common termLanguage,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,Term,Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary: languages,""
core_7-0-0 ns2:citations_common termPrefForLang,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,Term,Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"",""
core_7-0-0 ns2:citations_common termFullCitation,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,Term,Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termTitle,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,Term,Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termSubTitle,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,Term,Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termSectionTitle,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,Term,Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termVolume,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,Term,Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termIssue,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termIssue,Citation Information,Term,Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termSource,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,Term > Source,Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,""
core_7-0-0 ns2:citations_common termSourceDetail,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,Term > Source,Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termSourceID,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,Term > Source,Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"",""
core_7-0-0 ns2:citations_common termSourceNote,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,Term > Source,Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"",""
core_7-0-0 ns2:citations_common publisher,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,Publication,Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority: organization/local,""
core_7-0-0 ns2:citations_common publicationPlace,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,Publication,Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority: place/local; authority: place/tgn,""
core_7-0-0 ns2:citations_common publicationDate,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,Publication,Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"",""
core_7-0-0 ns2:citations_common edition,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,Publication,Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"",""
core_7-0-0 ns2:citations_common pages,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,Publication,Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"",""
core_7-0-0 ns2:citations_common agent,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,Agent,Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,""
core_7-0-0 ns2:citations_common role,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,Agent,Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary: agentinfotype,""
core_7-0-0 ns2:citations_common note,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,Agent,Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"",""
core_7-0-0 ns2:citations_common citationNote,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"",""
core_7-0-0 ns2:citations_common resourceIdent,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,Resource identifier,Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"",""
core_7-0-0 ns2:citations_common type,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,Resource identifier,Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary: resourceidtype,""
core_7-0-0 ns2:citations_common captureDate,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,Resource identifier,Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"",""
core_7-0-0 ns2:citations_common relatedTerm,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,""
core_7-0-0 ns2:citations_common relationType,core_7-0-0,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,Related term,Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary: relationtypetype,""
core_7-0-0 ns2:collectionobjects_common objectNumber,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNumber,Object Identification Information,"",Identification number,"",objectNumber,string,y,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common numberOfObjects,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberOfObjects,Object Identification Information,"",Number of objects,"",numberOfObjects,integer,n,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common numberValue,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberValue,Object Identification Information,Other number,Other number,otherNumberList > otherNumber,numberValue,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_common numberType,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberType,Object Identification Information,Other number,Other number type,otherNumberList > otherNumber,numberType,string,n,n,y,option list: numberTypes,"lender, obsolete, previous, serial, unknown"
core_7-0-0 ns2:collectionobjects_common responsibleDepartment,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.responsibleDepartment,Object Identification Information,"",Responsible department,responsibleDepartments,responsibleDepartment,string,n,y,n,option list: departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings"
core_7-0-0 ns2:collectionobjects_common collection,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.collection,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"library-collection, permanent-collection, study-collection, teaching-collection"
core_7-0-0 ns2:collectionobjects_common namedCollection,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.namedCollection,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,""
core_7-0-0 ns2:collectionobjects_common recordStatus,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
core_7-0-0 ns2:collectionobjects_common publishTo,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.publishTo,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
core_7-0-0 ns2:collectionobjects_common inventoryStatus,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inventoryStatus,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
core_7-0-0 ns2:collectionobjects_common briefDescription,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Brief description,briefDescriptions,briefDescription,string,n,y,n,"",""
core_7-0-0 ns2:collectionobjects_common distinguishingFeatures,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distinguishingFeatures,Object Identification Information,"",Distinguishing features,"",distinguishingFeatures,string,n,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common comment,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"",""
core_7-0-0 ns2:collectionobjects_common computedCurrentLocation,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,""
core_7-0-0 ns2:collectionobjects_annotation annotationType,core_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,""
core_7-0-0 ns2:collectionobjects_annotation annotationNote,core_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_annotation annotationDate,core_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_annotation annotationAuthor,core_7-0-0,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,""
core_7-0-0 ns2:collectionobjects_common title,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.title,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_common titleLanguage,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleLanguage,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,""
core_7-0-0 ns2:collectionobjects_common titleType,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleType,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, collection, generic, popular, series, trade"
core_7-0-0 ns2:collectionobjects_common titleTranslation,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslation,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_common titleTranslationLanguage,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslationLanguage,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,""
core_7-0-0 ns2:collectionobjects_common objectName,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectName,Object Identification Information,Object name,Object name,objectNameList > objectNameGroup,objectName,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_common objectNameCurrency,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameCurrency,Object Identification Information,Object name,Object name currency,objectNameList > objectNameGroup,objectNameCurrency,string,n,n,y,option list: nameCurrencies,"archaic, current"
core_7-0-0 ns2:collectionobjects_common objectNameLevel,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLevel,Object Identification Information,Object name,Object name level,objectNameList > objectNameGroup,objectNameLevel,string,n,n,y,option list: nameLevels,"group, subgroup"
core_7-0-0 ns2:collectionobjects_common objectNameSystem,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameSystem,Object Identification Information,Object name,Object name system,objectNameList > objectNameGroup,objectNameSystem,string,n,n,y,option list: nameSystems,"art-and-architecture-thesaurus, nomenclature"
core_7-0-0 ns2:collectionobjects_common objectNameType,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameType,Object Identification Information,Object name,Object name type,objectNameList > objectNameGroup,objectNameType,string,n,n,y,option list: nameTypes,"classified, denomination, simple, taxonomic, typological"
core_7-0-0 ns2:collectionobjects_common objectNameLanguage,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLanguage,Object Identification Information,Object name,Object name language,objectNameList > objectNameGroup,objectNameLanguage,string,n,n,y,vocabulary: languages,""
core_7-0-0 ns2:collectionobjects_common objectNameNote,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameNote,Object Identification Information,Object name,Object name note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"",""
core_7-0-0 ns2:collectionobjects_common copyNumber,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.copyNumber,Object Description Information,"",Copy number,"",copyNumber,string,n,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common objectStatus,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectStatus,Object Description Information,"",Object status,objectStatusList,objectStatus,string,n,y,n,option list: objectStatuses,"copy, forgery, holotype, paralectotype, paratype, type"
core_7-0-0 ns2:collectionobjects_common sex,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,option list: sexes,"female, male"
core_7-0-0 ns2:collectionobjects_common phase,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,option list: phases,"adult, imago, larva, nymph, pupa"
core_7-0-0 ns2:collectionobjects_common form,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,option list: forms,"dry, pinned, thin-section, wet"
core_7-0-0 ns2:collectionobjects_common editionNumber,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.editionNumber,Object Description Information,"",Edition number,"",editionNumber,string,n,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common ageQualifier,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ageQualifier,Object Description Information,Age,Age qualifier,"",ageQualifier,string,n,n,n/a,vocabulary: agequalifier,""
core_7-0-0 ns2:collectionobjects_common age,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.age,Object Description Information,Age,Age value,"",age,integer,n,n,n/a,"",""
core_7-0-0 ns2:collectionobjects_common ageUnit,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.ageUnit,Object Description Information,Age,Age unit,"",ageUnit,string,n,n,n/a,option list: ageUnits,"days, months, weeks, years"
core_7-0-0 ns2:collectionobjects_common style,core_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.style,Object Description Information,"",Style,styles,style,string,n,y,n,"",""
